,name,type,category,power,accuracy,pp,description,probability%
122,Close Combat,Fighting,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Lowers user's Defense and Special Defense.</td>","<td class=""cell-num"">100</td>"
123,Coaching,Fighting,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Boosts Attack and Defense of a teammate.</td>","<td class=""cell-num"">—</td>"
124,Coil,Poison,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Raises user's Attack, Defense and Accuracy.</td>","<td class=""cell-num"">—</td>"
125,Collision Course,Fighting,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Boosted even more if it's super-effective.</td>","<td class=""cell-num"">—</td>"
126,Combat Torque,Fighting,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May paralyze the opponent.</td>","<td class=""cell-num"">—</td>"
127,Comet Punch,Normal,Physical,"<td class=""cell-num"">18</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>","<td class=""cell-num"">—</td>"
128,Comeuppance,Dark,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Deals more damage to the opponent that last inflicted damage on it.</td>","<td class=""cell-num"">—</td>"
129,Confide,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Lowers opponent's Special Attack.</td>","<td class=""cell-num"">100</td>"
130,Confuse Ray,Ghost,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Confuses opponent.</td>","<td class=""cell-num"">—</td>"
131,Confusion,Psychic,Special,"<td class=""cell-num"">50</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">25</td>","<td class=""cell-long-text"">May confuse opponent.</td>","<td class=""cell-num"">10</td>"
132,Constrict,Normal,Physical,"<td class=""cell-num"">10</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">35</td>","<td class=""cell-long-text"">May lower opponent's Speed by one stage.</td>","<td class=""cell-num"">10</td>"
133,Continental Crush,Rock,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Rock type Z-Move.</td>","<td class=""cell-num"">—</td>"
134,Conversion,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Changes user's type to that of its first move.</td>","<td class=""cell-num"">—</td>"
135,Conversion 2,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">User changes type to become resistant to opponent's last move.</td>","<td class=""cell-num"">—</td>"
136,Copycat,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Copies opponent's last move.</td>","<td class=""cell-num"">—</td>"
137,Core Enforcer,Dragon,Special,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Suppresses the target's ability if the target has already moved.</td>","<td class=""cell-num"">—</td>"
138,Corkscrew Crash,Steel,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Steel type Z-Move.</td>","<td class=""cell-num"">—</td>"
139,Corrosive Gas,Poison,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Removes opponent's items.</td>","<td class=""cell-num"">—</td>"
140,Cosmic Power,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Raises user's Defense and Special Defense.</td>","<td class=""cell-num"">—</td>"
141,Cotton Guard,Grass,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Drastically raises user's Defense.</td>","<td class=""cell-num"">—</td>"
142,Cotton Spore,Grass,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Sharply lowers opponent's Speed.</td>","<td class=""cell-num"">—</td>"
143,Counter,Fighting,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">When hit by a Physical Attack, user strikes back with 2x power.</td>","<td class=""cell-num"">—</td>"
144,Court Change,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Swaps the effects on either side of the field.</td>","<td class=""cell-num"">—</td>"
145,Covet,Normal,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">25</td>","<td class=""cell-long-text"">Opponent's item is stolen by the user.</td>","<td class=""cell-num"">—</td>"
146,Crabhammer,Water,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">High critical hit ratio.</td>","<td class=""cell-num"">—</td>"
147,Crafty Shield,Fairy,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Protects the Pokémon from status moves.</td>","<td class=""cell-num"">—</td>"
148,Cross Chop,Fighting,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">80</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">High critical hit ratio.</td>","<td class=""cell-num"">—</td>"
149,Cross Poison,Poison,Physical,"<td class=""cell-num"">70</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">High critical hit ratio. May poison opponent.</td>","<td class=""cell-num"">10</td>"
150,Crunch,Dark,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May lower opponent's Defense.</td>","<td class=""cell-num"">20</td>"
151,Crush Claw,Normal,Physical,"<td class=""cell-num"">75</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May lower opponent's Defense.</td>","<td class=""cell-num"">50</td>"
152,Crush Grip,Normal,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">More powerful when opponent has higher HP.</td>","<td class=""cell-num"">—</td>"
153,Curse,Ghost,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.</td>","<td class=""cell-num"">—</td>"
154,Cut,Normal,Physical,"<td class=""cell-num"">50</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
155,Dark Pulse,Dark,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May cause flinching.</td>","<td class=""cell-num"">20</td>"
156,Dark Void,Dark,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">50</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Puts all adjacent opponents to sleep.</td>","<td class=""cell-num"">—</td>"
157,Darkest Lariat,Dark,Physical,"<td class=""cell-num"">85</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Ignores opponent's stat changes.</td>","<td class=""cell-num"">—</td>"
158,Dazzling Gleam,Fairy,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Hits all adjacent opponents.</td>","<td class=""cell-num"">—</td>"
159,Decorate,Fairy,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Sharply raises target's Attack and Special Attack.</td>","<td class=""cell-num"">100</td>"
160,Defend Order,Bug,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Raises user's Defense and Special Defense.</td>","<td class=""cell-num"">—</td>"
161,Defense Curl,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Raises user's Defense.</td>","<td class=""cell-num"">—</td>"
162,Defog,Flying,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Lowers opponent's Evasiveness and clears fog.</td>","<td class=""cell-num"">—</td>"
163,Destiny Bond,Ghost,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">If the user faints, the opponent also faints.</td>","<td class=""cell-num"">—</td>"
164,Detect,Fighting,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Protects the user, but may fail if used consecutively.</td>","<td class=""cell-num"">—</td>"
165,Devastating Drake,Dragon,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Dragon type Z-Move.</td>","<td class=""cell-num"">—</td>"
166,Diamond Storm,Rock,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May sharply raise user's Defense.</td>","<td class=""cell-num"">50</td>"
167,Dig,Ground,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Digs underground on first turn, attacks on second. Can also escape from caves.</td>","<td class=""cell-num"">—</td>"
168,Dire Claw,Poison,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May poison, paralyze or put the opponent to sleep.</td>","<td class=""cell-num"">—</td>"
169,Disable,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Opponent can't use its last attack for a few turns.</td>","<td class=""cell-num"">—</td>"
170,Disarming Voice,Fairy,Special,"<td class=""cell-num"">40</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>","<td class=""cell-num"">—</td>"
171,Discharge,Electric,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May paralyze opponent.</td>","<td class=""cell-num"">30</td>"
172,Dive,Water,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Dives underwater on first turn, attacks on second turn.</td>","<td class=""cell-num"">—</td>"
173,Dizzy Punch,Normal,Physical,"<td class=""cell-num"">70</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May confuse opponent.</td>","<td class=""cell-num"">20</td>"
174,Doodle,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Changes the abilities of the user and its teammates to that of the target.</td>","<td class=""cell-num"">—</td>"
175,Doom Desire,Steel,Special,"<td class=""cell-num"">140</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Damage occurs 2 turns later.</td>","<td class=""cell-num"">—</td>"
176,Double Hit,Normal,Physical,"<td class=""cell-num"">35</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Hits twice in one turn.</td>","<td class=""cell-num"">—</td>"
177,Double Iron Bash,Steel,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Hits twice in one turn; may cause flinching.</td>","<td class=""cell-num"">30</td>"
178,Double Kick,Fighting,Physical,"<td class=""cell-num"">30</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Hits twice in one turn.</td>","<td class=""cell-num"">—</td>"
179,Double Shock,Electric,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">After using this move, the user will no longer be Electric type.</td>","<td class=""cell-num"">—</td>"
180,Double Slap,Normal,Physical,"<td class=""cell-num"">15</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>","<td class=""cell-num"">—</td>"
181,Double Team,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Raises user's Evasiveness.</td>","<td class=""cell-num"">—</td>"
182,Double-Edge,Normal,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">User receives recoil damage.</td>","<td class=""cell-num"">—</td>"
183,Draco Meteor,Dragon,Special,"<td class=""cell-num"">130</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Sharply lowers user's Special Attack.</td>","<td class=""cell-num"">100</td>"
184,Dragon Ascent,Flying,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Lowers user's Defense and Special Defense.</td>","<td class=""cell-num"">100</td>"
185,Dragon Breath,Dragon,Special,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">May paralyze opponent.</td>","<td class=""cell-num"">30</td>"
186,Dragon Cheer,Dragon,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
187,Dragon Claw,Dragon,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
188,Dragon Dance,Dragon,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Raises user's Attack and Speed.</td>","<td class=""cell-num"">—</td>"
